id;poly_id;point_id;x;y;A_europaeum_eval
0;0;0;545079,6254;4079389,829;1
1;0;1;545119,626;4079389,829;1
2;0;2;545119,626;4079349,829;1
3;0;3;545159,6265;4079429,83;1
4;0;4;545159,6265;4079389,829;1
5;0;5;545159,6265;4079349,829;1
6;0;6;545159,6265;4079309,828;1
7;0;7;545199,6271;4079429,83;1
8;0;8;545199,6271;4079389,829;1
9;0;9;545239,6276;4079429,83;1
10;0;10;545279,6281;4079429,83;1
11;1;0;545079,6254;4079389,829;1
12;1;1;545119,626;4079389,829;1
13;1;2;545119,626;4079349,829;1
14;1;3;545159,6265;4079429,83;1
15;1;4;545159,6265;4079389,829;1
16;1;5;545159,6265;4079349,829;1
17;1;6;545159,6265;4079309,828;1
18;1;7;545199,6271;4079429,83;1
19;1;8;545199,6271;4079389,829;1
20;1;9;545239,6276;4079429,83;1
21;1;10;545279,6281;4079429,83;1
22;5;0;531399,442;4065269,636;1
23;5;1;531439,4425;4065269,636;1
24;7;0;531439,4425;4065229,635;1
25;9;0;544039,6115;4075989,783;1
26;9;1;544079,612;4075989,783;1
27;9;2;544079,612;4075949,782;1
28;10;0;546319,6421;4078749,82;1
29;10;1;546359,6426;4078749,82;1
30;;;525896,1474;4060976,962;1
31;;;531411,3015;4065223,463;1
32;;;531368,2597;4065205,689;1
33;;;531029,3438;4065366,063;1
34;;;544135,1509;4075993,308;1
35;;;544135,6142;4076039,624;1
36;;;546415,7085;4078775,393;1
37;;;547234,8068;4078706,373;1
38;;;558574,9637;4080080,135;1
39;;;558693,8641;4080215,225;1
